<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;60;12/12/18;180000;1103.0000000;1105.4000000;1097.2000000;1100.8000000;86620
NVTK;60;12/12/18;190000;1100.7000000;1103.3000000;1097.0000000;1097.0000000;142200
NVTK;60;13/12/18;110000;1104.0000000;1114.2000000;1099.4000000;1114.2000000;104730
NVTK;60;13/12/18;120000;1114.2000000;1114.9000000;1107.0000000;1110.0000000;103060
NVTK;60;13/12/18;130000;1109.2000000;1113.8000000;1106.6000000;1108.3000000;43650
NVTK;60;13/12/18;140000;1108.5000000;1114.2000000;1107.6000000;1113.0000000;24500
NVTK;60;13/12/18;150000;1112.4000000;1114.1000000;1106.9000000;1108.8000000;45200
NVTK;60;13/12/18;160000;1107.8000000;1113.1000000;1102.9000000;1113.1000000;80430
NVTK;60;13/12/18;170000;1113.0000000;1117.0000000;1101.3000000;1103.9000000;173170
NVTK;60;13/12/18;180000;1103.8000000;1106.3000000;1098.0000000;1105.0000000;98350
NVTK;60;13/12/18;190000;1105.0000000;1114.6000000;1105.0000000;1107.0000000;63570
NVTK;60;14/12/18;110000;1110.4000000;1111.8000000;1104.0000000;1104.0000000;35140
NVTK;60;14/12/18;120000;1104.2000000;1121.3000000;1101.3000000;1115.6000000;126700
NVTK;60;14/12/18;130000;1114.8000000;1122.9000000;1114.7000000;1120.6000000;45850
NVTK;60;14/12/18;140000;1120.1000000;1122.9000000;1116.3000000;1121.5000000;50880
NVTK;60;14/12/18;150000;1122.0000000;1126.6000000;1121.0000000;1125.0000000;82100
NVTK;60;14/12/18;160000;1124.9000000;1124.9000000;1118.8000000;1124.1000000;48670
NVTK;60;14/12/18;170000;1123.7000000;1132.5000000;1122.8000000;1132.1000000;66500
NVTK;60;14/12/18;180000;1132.5000000;1133.9000000;1120.7000000;1123.7000000;117680
NVTK;60;14/12/18;190000;1124.1000000;1128.0000000;1120.4000000;1123.8000000;38180
NVTK;60;17/12/18;110000;1120.2000000;1134.9000000;1120.2000000;1124.0000000;48980
NVTK;60;17/12/18;120000;1124.1000000;1127.2000000;1119.1000000;1121.5000000;57500
NVTK;60;17/12/18;130000;1121.9000000;1122.9000000;1117.2000000;1119.8000000;32860
NVTK;60;17/12/18;140000;1119.5000000;1126.5000000;1119.0000000;1126.5000000;11520
NVTK;60;17/12/18;150000;1125.6000000;1127.3000000;1124.1000000;1126.5000000;16880
NVTK;60;17/12/18;160000;1126.0000000;1127.2000000;1125.3000000;1126.3000000;21490
NVTK;60;17/12/18;170000;1126.9000000;1127.0000000;1122.2000000;1125.2000000;89740
NVTK;60;17/12/18;180000;1125.0000000;1127.2000000;1118.5000000;1118.9000000;107500
