<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;60;06/04/17;170000;3056.0000000;3058.0000000;3035.5000000;3048.5000000;46627
LKOH;60;06/04/17;180000;3050.0000000;3054.5000000;3032.0000000;3042.0000000;39679
LKOH;60;06/04/17;190000;3043.0000000;3063.0000000;3043.0000000;3057.5000000;91008
LKOH;60;07/04/17;110000;3040.0000000;3057.5000000;3011.0000000;3016.5000000;129177
LKOH;60;07/04/17;120000;3017.5000000;3019.5000000;2973.0000000;2985.5000000;160287
LKOH;60;07/04/17;130000;2988.5000000;2994.0000000;2977.0000000;2983.0000000;41973
LKOH;60;07/04/17;140000;2983.0000000;2990.0000000;2971.5000000;2989.5000000;52875
LKOH;60;07/04/17;150000;2988.0000000;2999.5000000;2963.0000000;2976.0000000;138530
LKOH;60;07/04/17;160000;2975.0000000;2978.0000000;2955.0000000;2966.5000000;83872
LKOH;60;07/04/17;170000;2966.0000000;2997.0000000;2957.0000000;2982.5000000;75167
LKOH;60;07/04/17;180000;2982.5000000;2997.5000000;2975.5000000;2987.0000000;75618
LKOH;60;07/04/17;190000;2987.5000000;2997.5000000;2980.5000000;2991.0000000;42125
LKOH;60;10/04/17;110000;2981.0000000;2989.0000000;2948.0000000;2958.0000000;143307
LKOH;60;10/04/17;120000;2958.5000000;2969.0000000;2930.0000000;2932.0000000;138783
LKOH;60;10/04/17;130000;2930.5000000;2944.0000000;2930.0000000;2939.5000000;72395
LKOH;60;10/04/17;140000;2939.5000000;2953.0000000;2923.5000000;2949.5000000;88657
LKOH;60;10/04/17;150000;2947.0000000;2963.5000000;2942.5000000;2960.0000000;30681
LKOH;60;10/04/17;160000;2960.0000000;2973.5000000;2949.0000000;2967.0000000;50931
LKOH;60;10/04/17;170000;2967.0000000;2975.0000000;2949.5000000;2950.0000000;61669
LKOH;60;10/04/17;180000;2950.5000000;2967.5000000;2949.0000000;2964.5000000;69563
LKOH;60;10/04/17;190000;2962.5000000;2966.5000000;2953.0000000;2956.0000000;38763
LKOH;60;11/04/17;110000;2954.5000000;2979.0000000;2941.0000000;2962.5000000;102969
LKOH;60;11/04/17;120000;2962.5000000;2972.0000000;2956.0000000;2971.5000000;37609
LKOH;60;11/04/17;130000;2971.5000000;2973.5000000;2964.0000000;2965.5000000;29161
LKOH;60;11/04/17;140000;2963.5000000;2996.5000000;2960.0000000;2987.0000000;71800
LKOH;60;11/04/17;150000;2987.5000000;2992.0000000;2978.5000000;2987.5000000;15046
LKOH;60;11/04/17;160000;2987.5000000;2991.5000000;2964.0000000;2982.5000000;35636
LKOH;60;11/04/17;170000;2982.0000000;2994.5000000;2960.5000000;2965.5000000;73390
LKOH;60;11/04/17;180000;2966.5000000;2970.5000000;2950.0000000;2957.0000000;73809
LKOH;60;11/04/17;190000;2955.5000000;2970.5000000;2954.0000000;2968.0000000;54394
LKOH;60;12/04/17;110000;2980.0000000;2984.0000000;2951.0000000;2976.5000000;65875
LKOH;60;12/04/17;120000;2976.5000000;2983.0000000;2959.0000000;2979.0000000;23275
LKOH;60;12/04/17;130000;2979.5000000;2985.0000000;2958.0000000;2959.0000000;25960
LKOH;60;12/04/17;140000;2960.0000000;2965.5000000;2953.5000000;2965.0000000;32148
LKOH;60;12/04/17;150000;2966.0000000;2966.0000000;2932.5000000;2942.5000000;89284
LKOH;60;12/04/17;160000;2941.5000000;2951.0000000;2927.0000000;2929.0000000;37260
LKOH;60;12/04/17;170000;2927.5000000;2936.0000000;2915.5000000;2919.5000000;57673
LKOH;60;12/04/17;180000;2920.0000000;2942.0000000;2913.0000000;2931.0000000;117179
LKOH;60;12/04/17;190000;2930.0000000;2949.5000000;2908.0000000;2949.5000000;122091
LKOH;60;13/04/17;110000;2952.0000000;2958.0000000;2903.0000000;2910.0000000;156039
LKOH;60;13/04/17;120000;2910.0000000;2916.0000000;2866.0000000;2885.0000000;197019
LKOH;60;13/04/17;130000;2884.0000000;2920.0000000;2884.0000000;2903.5000000;58887
LKOH;60;13/04/17;140000;2902.5000000;2918.0000000;2899.5000000;2906.5000000;44775
LKOH;60;13/04/17;150000;2907.5000000;2925.0000000;2905.0000000;2923.0000000;44208
LKOH;60;13/04/17;160000;2923.0000000;2932.0000000;2886.0000000;2887.0000000;56069
LKOH;60;13/04/17;170000;2888.5000000;2913.0000000;2881.0000000;2903.5000000;44503
LKOH;60;13/04/17;180000;2907.0000000;2921.0000000;2900.0000000;2903.0000000;34096
LKOH;60;13/04/17;190000;2905.0000000;2923.0000000;2902.5000000;2910.0000000;54024
LKOH;60;14/04/17;110000;2910.0000000;2910.0000000;2881.5000000;2887.0000000;19233
LKOH;60;14/04/17;120000;2887.5000000;2899.0000000;2884.0000000;2895.0000000;7047
LKOH;60;14/04/17;130000;2895.5000000;2900.0000000;2895.0000000;2899.0000000;3448
LKOH;60;14/04/17;140000;2899.0000000;2899.5000000;2893.5000000;2896.5000000;1017
LKOH;60;14/04/17;150000;2896.5000000;2899.5000000;2894.0000000;2894.5000000;5339
LKOH;60;14/04/17;160000;2894.0000000;2895.0000000;2883.0000000;2886.0000000;6481
LKOH;60;14/04/17;170000;2886.0000000;2886.0000000;2867.5000000;2875.5000000;36643
LKOH;60;14/04/17;180000;2877.5000000;2879.0000000;2860.0000000;2861.0000000;24508
LKOH;60;14/04/17;190000;2861.0000000;2864.5000000;2856.0000000;2864.5000000;33072
LKOH;60;17/04/17;110000;2849.5000000;2864.5000000;2842.5000000;2861.0000000;38970
LKOH;60;17/04/17;120000;2861.5000000;2862.0000000;2836.0000000;2851.5000000;40979
LKOH;60;17/04/17;130000;2851.5000000;2851.5000000;2835.0000000;2843.5000000;21004
LKOH;60;17/04/17;140000;2845.0000000;2855.0000000;2836.5000000;2853.5000000;18583
LKOH;60;17/04/17;150000;2853.5000000;2863.5000000;2850.0000000;2860.0000000;25060
LKOH;60;17/04/17;160000;2859.5000000;2877.0000000;2853.5000000;2866.5000000;36115
