<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;60;20/06/16;110000;85.0900000;85.8800000;85.0000000;85.1100000;350900
AFLT;60;20/06/16;120000;85.1000000;86.2900000;85.0700000;85.9600000;373600
AFLT;60;20/06/16;130000;86.0700000;86.4000000;86.0000000;86.3700000;145100
AFLT;60;20/06/16;140000;86.2600000;86.2600000;85.6400000;85.7200000;142800
AFLT;60;20/06/16;150000;85.6600000;86.1500000;85.6500000;86.0500000;106200
AFLT;60;20/06/16;160000;85.9900000;86.1400000;85.9600000;86.0300000;19100
AFLT;60;20/06/16;170000;86.1200000;86.1500000;85.6300000;86.1300000;57000
AFLT;60;20/06/16;180000;86.1000000;86.1000000;85.0000000;85.4800000;674000
AFLT;60;20/06/16;190000;85.4700000;85.9000000;85.0000000;85.9000000;242800
AFLT;60;21/06/16;110000;85.8000000;86.1200000;85.1500000;85.1700000;141700
AFLT;60;21/06/16;120000;85.1400000;85.2500000;84.5600000;84.5600000;112600
AFLT;60;21/06/16;130000;84.5700000;84.8900000;83.6600000;84.8100000;615200
AFLT;60;21/06/16;140000;84.8500000;84.8900000;84.5000000;84.5100000;62600
AFLT;60;21/06/16;150000;84.5000000;84.5700000;84.4200000;84.5000000;84100
AFLT;60;21/06/16;160000;84.5000000;84.7600000;84.2600000;84.5000000;149800
AFLT;60;21/06/16;170000;84.5600000;84.5600000;84.0700000;84.3000000;154600
AFLT;60;21/06/16;180000;84.2000000;84.4800000;83.8500000;83.9300000;354500
AFLT;60;21/06/16;190000;84.0200000;84.1000000;83.4500000;83.5200000;443500
AFLT;60;22/06/16;110000;84.3000000;84.4000000;83.0000000;84.2400000;688900
AFLT;60;22/06/16;120000;84.3500000;84.8200000;84.3000000;84.7700000;353700
AFLT;60;22/06/16;130000;84.8200000;85.3000000;84.6700000;85.0400000;552500
AFLT;60;22/06/16;140000;85.0400000;85.1500000;84.8600000;85.0100000;107300
AFLT;60;22/06/16;150000;85.0600000;85.1200000;84.8200000;85.0000000;135700
AFLT;60;22/06/16;160000;85.0600000;85.2200000;84.9400000;85.1100000;100300
AFLT;60;22/06/16;170000;85.1600000;85.6000000;84.3100000;84.8700000;344800
AFLT;60;22/06/16;180000;84.9500000;85.9900000;84.5500000;84.6000000;756700
AFLT;60;22/06/16;190000;84.7000000;84.9900000;83.8100000;84.1700000;298600
AFLT;60;23/06/16;110000;84.2300000;84.7900000;83.2900000;84.1200000;441000
AFLT;60;23/06/16;120000;84.1000000;84.5900000;83.6500000;84.4200000;292200
AFLT;60;23/06/16;130000;84.4200000;84.9100000;84.1800000;84.7700000;247000
AFLT;60;23/06/16;140000;84.8100000;85.1400000;84.5100000;84.5100000;185500
AFLT;60;23/06/16;150000;84.5100000;85.0200000;84.2400000;84.9800000;225300
AFLT;60;23/06/16;160000;84.9800000;85.3900000;84.7800000;85.3300000;260300
AFLT;60;23/06/16;170000;85.3000000;85.3600000;84.7300000;85.2200000;140700
AFLT;60;23/06/16;180000;85.2300000;85.5000000;85.0100000;85.4000000;229500
AFLT;60;23/06/16;190000;85.4500000;85.7800000;85.4300000;85.7000000;290400
AFLT;60;24/06/16;110000;83.8500000;84.3900000;81.3000000;84.2200000;1288200
AFLT;60;24/06/16;120000;84.1800000;84.7600000;83.7200000;84.5100000;382700
AFLT;60;24/06/16;130000;84.4400000;84.5600000;83.6500000;83.7700000;221400
AFLT;60;24/06/16;140000;83.7500000;84.0800000;83.5000000;83.9300000;61600
AFLT;60;24/06/16;150000;83.9200000;84.3900000;83.6500000;84.1800000;173700
AFLT;60;24/06/16;160000;84.1800000;84.3600000;83.8400000;84.1900000;213400
AFLT;60;24/06/16;170000;84.1700000;84.6600000;83.8900000;84.1600000;170800
AFLT;60;24/06/16;180000;84.1700000;84.2900000;83.8400000;84.0800000;224300
AFLT;60;24/06/16;190000;84.0100000;84.1000000;83.4200000;83.4200000;486300
AFLT;60;27/06/16;110000;83.4400000;84.6000000;83.4400000;84.1500000;137900
