<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;02/09/19;190000;226.8100000;226.9000000;226.4100000;226.6800000;3.726.060
SBER;60;03/09/19;110000;225.9400000;226.2500000;224.5200000;224.5900000;9.591.920
SBER;60;03/09/19;120000;224.6200000;224.9800000;222.9000000;223.6000000;9.408.780
SBER;60;03/09/19;130000;223.5300000;223.7700000;222.0500000;222.2400000;6.082.570
SBER;60;03/09/19;140000;222.2200000;223.0200000;222.1600000;222.9000000;3.098.890
SBER;60;03/09/19;150000;222.9000000;223.3300000;222.4200000;223.0600000;2.124.670
SBER;60;03/09/19;160000;223.0000000;223.6600000;222.6300000;223.4900000;2.209.110
SBER;60;03/09/19;170000;223.4900000;223.9500000;222.9100000;223.9200000;3.280.240
SBER;60;03/09/19;180000;223.8300000;223.8800000;222.5200000;223.5200000;4.329.890
SBER;60;03/09/19;190000;223.5100000;224.4500000;223.2400000;224.0000000;4.339.750
SBER;60;04/09/19;110000;225.3000000;226.6600000;225.3000000;225.7300000;10.875.510
SBER;60;04/09/19;120000;225.7500000;225.9400000;224.8600000;225.4200000;3.797.940
SBER;60;04/09/19;130000;225.4200000;225.8200000;224.9200000;225.0300000;2.220.570
SBER;60;04/09/19;140000;225.0400000;225.3700000;224.6900000;224.8300000;1.444.920
SBER;60;04/09/19;150000;224.8000000;225.5000000;224.7200000;225.2200000;1.376.970
SBER;60;04/09/19;160000;225.2000000;226.1000000;224.8200000;225.4400000;3.576.460
SBER;60;04/09/19;170000;225.4500000;227.0000000;225.0300000;226.7800000;7.753.930
SBER;60;04/09/19;180000;226.7800000;226.7900000;226.0100000;226.6500000;3.777.020
SBER;60;04/09/19;190000;226.6900000;227.5000000;226.5900000;227.1000000;6.727.840
SBER;60;05/09/19;110000;229.5100000;230.3300000;229.0000000;229.3600000;12.414.320
SBER;60;05/09/19;120000;229.3600000;229.8000000;228.8300000;229.3100000;4.102.610
SBER;60;05/09/19;130000;229.3000000;230.9300000;229.2500000;230.3200000;7.113.960
SBER;60;05/09/19;140000;230.3100000;230.5900000;228.9000000;229.7300000;6.032.930
SBER;60;05/09/19;150000;229.7300000;229.8700000;229.3400000;229.5000000;2.394.580
SBER;60;05/09/19;160000;229.5000000;229.8800000;228.9100000;229.0700000;4.246.770
SBER;60;05/09/19;170000;229.1000000;229.9500000;228.3600000;229.8100000;5.171.840
SBER;60;05/09/19;180000;229.8400000;230.9000000;229.6000000;229.7500000;6.742.300
SBER;60;05/09/19;190000;229.7500000;230.7900000;229.3200000;230.7900000;6.365.920
SBER;60;06/09/19;110000;231.0000000;231.2000000;228.6200000;229.3900000;9.757.100
SBER;60;06/09/19;120000;229.3900000;229.6100000;228.9200000;229.1800000;2.379.040
SBER;60;06/09/19;130000;229.1600000;230.4600000;228.7000000;230.2000000;4.626.830
SBER;60;06/09/19;140000;230.2200000;230.3000000;228.9100000;229.0000000;3.001.120
SBER;60;06/09/19;150000;229.0700000;229.8800000;228.9300000;229.6800000;1.695.220
SBER;60;06/09/19;160000;229.6100000;229.9500000;228.5700000;228.9000000;4.344.070
SBER;60;06/09/19;170000;228.9000000;229.8000000;228.3600000;229.7500000;4.296.170
SBER;60;06/09/19;180000;229.7500000;230.3900000;229.5900000;230.2400000;3.408.210
SBER;60;06/09/19;190000;230.3000000;230.3200000;229.0200000;229.0200000;4.362.200
SBER;60;09/09/19;110000;229.8800000;230.8700000;229.6100000;229.9900000;4.851.780
SBER;60;09/09/19;120000;229.9500000;229.9900000;229.1000000;229.5200000;1.964.060
SBER;60;09/09/19;130000;229.5900000;229.9000000;229.1800000;229.6700000;768.370
SBER;60;09/09/19;140000;229.6700000;229.8400000;229.2000000;229.2000000;1.024.350
SBER;60;09/09/19;150000;229.2000000;229.3900000;228.4400000;228.7600000;3.504.110
