<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;12/09/17;160000;121.5300000;121.5800000;121.3000000;121.4900000;1214740
GAZP;60;12/09/17;170000;121.5100000;121.7500000;121.4300000;121.4800000;2006850
GAZP;60;12/09/17;180000;121.4500000;121.7500000;121.4500000;121.6700000;1859700
GAZP;60;12/09/17;190000;121.6700000;122.0000000;121.6000000;121.9900000;5128960
GAZP;60;13/09/17;110000;121.9900000;124.0000000;121.9900000;123.9900000;14005910
GAZP;60;13/09/17;120000;123.9700000;124.2200000;123.6000000;124.0000000;7984180
GAZP;60;13/09/17;130000;124.0000000;124.2600000;123.4100000;123.9000000;7627710
GAZP;60;13/09/17;140000;123.9000000;124.1500000;123.5500000;123.9700000;3731220
GAZP;60;13/09/17;150000;123.9800000;124.3800000;123.9300000;124.0600000;4040930
GAZP;60;13/09/17;160000;124.0700000;124.3800000;124.0600000;124.3200000;3827890
GAZP;60;13/09/17;170000;124.3200000;124.3800000;123.8400000;123.9100000;2601380
GAZP;60;13/09/17;180000;123.9200000;124.1800000;123.4500000;123.9700000;3783280
GAZP;60;13/09/17;190000;123.9700000;124.0900000;123.5500000;123.5500000;3607780
GAZP;60;14/09/17;110000;123.5700000;124.1900000;123.4400000;123.7300000;6850290
GAZP;60;14/09/17;120000;123.7300000;123.8500000;122.7900000;122.9300000;7578320
GAZP;60;14/09/17;130000;122.9500000;123.4700000;122.8400000;123.4700000;1849010
GAZP;60;14/09/17;140000;123.4700000;123.5800000;123.1500000;123.4000000;1673650
GAZP;60;14/09/17;150000;123.3800000;123.4500000;123.0000000;123.2600000;2251920
GAZP;60;14/09/17;160000;123.2600000;123.9400000;123.2000000;123.6100000;2595500
GAZP;60;14/09/17;170000;123.6500000;123.8900000;123.1700000;123.2100000;2364810
GAZP;60;14/09/17;180000;123.2100000;123.4900000;122.9800000;123.1300000;1822420
GAZP;60;14/09/17;190000;123.1400000;123.6800000;122.9800000;123.3300000;2466400
GAZP;60;15/09/17;110000;122.8900000;123.0000000;121.9200000;122.2200000;9061050
GAZP;60;15/09/17;120000;122.2200000;122.2300000;121.7500000;122.0300000;4960540
GAZP;60;15/09/17;130000;122.0000000;122.2400000;121.8100000;122.1800000;2529840
GAZP;60;15/09/17;140000;122.1600000;122.3900000;121.9100000;122.2900000;1690770
GAZP;60;15/09/17;150000;122.2900000;122.3600000;122.1500000;122.3000000;1018830
GAZP;60;15/09/17;160000;122.3300000;122.4500000;122.1500000;122.3800000;1323880
GAZP;60;15/09/17;170000;122.3600000;122.9700000;122.2700000;122.6700000;5617510
GAZP;60;15/09/17;180000;122.6700000;122.9000000;121.8500000;122.0300000;4357940
GAZP;60;15/09/17;190000;122.0400000;122.5000000;121.5900000;122.5000000;11266560
GAZP;60;18/09/17;110000;122.5000000;123.1900000;122.3000000;122.7600000;7450320
GAZP;60;18/09/17;120000;122.7900000;122.9000000;122.5000000;122.8900000;2449470
GAZP;60;18/09/17;130000;122.8900000;123.1400000;122.6400000;123.0500000;3053290
GAZP;60;18/09/17;140000;123.0500000;123.0500000;122.4500000;122.5400000;2640470
GAZP;60;18/09/17;150000;122.5200000;122.7100000;122.0700000;122.6800000;3558040
GAZP;60;18/09/17;160000;122.6800000;122.7600000;122.5000000;122.6200000;701290
GAZP;60;18/09/17;170000;122.6600000;123.3500000;122.6600000;123.1000000;4353430
GAZP;60;18/09/17;180000;123.1000000;123.1500000;122.6800000;122.8200000;1542640
GAZP;60;18/09/17;190000;122.8300000;122.9600000;122.6900000;122.7200000;1129190
GAZP;60;19/09/17;110000;122.7200000;122.8000000;121.7400000;121.8100000;6683280
